Case_ID,Date,Agent_ID,Department,Resolution_Type,AHT_Min,Resolved,AI_Conversion,Attendance_Rate,Revenue
1,2025-01-09,A1008,InDesign,Shared Self-Help Article,23.9,1,0,98.66835593288909,23.74
2,2025-01-28,A1009,Illustrator,Remote Support,20.73,0,1,95.6639631217223,30.51
3,2025-01-12,A1020,Photoshop,Remote Support,24.66,0,1,97.03763814708498,45.34
4,2025-01-23,A1019,Acrobat,Remote Support,29.04,1,1,94.82702295807047,48.23
5,2025-01-20,A1028,Photoshop,Remote Support,20.25,1,1,91.43623392046207,40.63
6,2025-01-09,A1019,Photoshop,Remote Support,20.25,0,1,92.47961797997729,45.95
7,2025-01-12,A1000,Acrobat,Remote Support,29.32,0,1,91.52534859665992,39.39
8,2025-01-06,A1009,Acrobat,Remote Support,25.26,1,1,96.3696644904085,39.31
9,2025-01-06,A1010,Premiere Pro,Remote Support,19.07,1,0,99.0973183410705,16.52
10,2025-01-28,A1002,Illustrator,Shared Self-Help Article,24.13,1,0,95.85795691970851,32.25
11,2025-01-13,A1012,Premiere Pro,Remote Support,19.1,0,0,96.18561856948837,32.68
12,2025-01-31,A1013,Premiere Pro,In Progress,19.09,0,1,91.33493606083232,30.36
13,2025-01-23,A1012,Illustrator,Remote Support,22.63,0,1,96.61276653446204,41.33
14,2025-01-07,A1008,Illustrator,Remote Support,11.85,0,1,91.61025454875724,33.11
15,2025-01-20,A1003,Premiere Pro,In Progress,12.8,0,0,90.25749892505254,46.2
16,2025-01-29,A1023,Premiere Pro,In Progress,18.61,1,1,99.74475616042093,39.06
17,2025-01-28,A1018,Illustrator,Shared Self-Help Article,16.36,1,0,99.20715721847745,33.77
18,2025-01-18,A1024,InDesign,Shared Self-Help Article,22.99,1,0,90.603996572312,39.69
19,2025-01-21,A1018,Premiere Pro,Shared Self-Help Article,16.88,1,1,92.6778964241255,47.45
20,2025-01-03,A1017,Photoshop,Remote Support,14.36,1,0,95.22737845187889,27.5
21,2025-01-08,A1019,Acrobat,Remote Support,28.75,0,0,91.68671204109684,47.24
22,2025-01-27,A1029,InDesign,In Progress,20.29,0,1,91.16890269217949,33.45
23,2025-01-25,A1003,InDesign,In Progress,21.76,0,0,92.20471148817758,49.96
24,2025-01-03,A1012,Premiere Pro,Shared Self-Help Article,14.3,0,1,95.46386971963935,34.8
25,2025-01-16,A1015,Premiere Pro,Shared Self-Help Article,18.7,0,0,90.951077641218,12.43
26,2025-01-25,A1027,Photoshop,Remote Support,21.97,1,0,97.72196473696377,27.68
27,2025-01-21,A1000,Illustrator,Remote Support,15.67,1,0,91.26352166514766,22.33
28,2025-01-27,A1018,Acrobat,Shared Self-Help Article,23.3,1,0,99.18957400433113,14.85
29,2025-01-13,A1015,Premiere Pro,Remote Support,18.42,0,0,95.86255023862827,31.76
30,2025-01-08,A1022,Acrobat,In Progress,19.96,1,0,92.21153104545579,13.81
31,2025-01-31,A1014,Photoshop,In Progress,18.41,0,0,90.09182029704314,16.37
32,2025-01-15,A1016,Illustrator,Remote Support,30.68,0,1,93.0021666324449,10.63
33,2025-01-31,A1013,Premiere Pro,Remote Support,21.35,0,1,99.12181410453489,34.42
34,2025-01-28,A1013,Acrobat,Remote Support,16.13,1,1,94.94910273412606,31.87
35,2025-01-01,A1028,Premiere Pro,Remote Support,25.53,0,1,98.695548633039,23.22
36,2025-01-27,A1013,Premiere Pro,In Progress,15.32,0,1,97.56184964629108,48.86
37,2025-01-31,A1000,Acrobat,In Progress,22.46,1,1,96.90248720728277,28.81
38,2025-01-24,A1012,Illustrator,Shared Self-Help Article,11.62,1,0,92.62285322016993,37.59
39,2025-01-04,A1009,Illustrator,Remote Support,14.78,1,1,97.51713024532104,26.19
40,2025-01-12,A1025,InDesign,Shared Self-Help Article,22.4,1,1,97.29602598903908,40.59
41,2025-01-14,A1002,Photoshop,Shared Self-Help Article,25.11,0,0,95.8817276659898,11.07
42,2025-01-23,A1029,Acrobat,Shared Self-Help Article,22.28,0,1,99.43252013270225,23.75
43,2025-01-04,A1014,InDesign,Shared Self-Help Article,20.84,0,1,95.59840576785155,17.96
44,2025-01-05,A1007,Premiere Pro,Remote Support,19.91,1,1,90.71670410085129,23.62
45,2025-01-07,A1029,InDesign,Shared Self-Help Article,14.03,1,1,97.14034609781828,26.79
46,2025-01-10,A1005,Premiere Pro,Remote Support,17.82,1,0,91.18265202623407,35.71
47,2025-01-16,A1014,Acrobat,Shared Self-Help Article,19.12,1,0,96.98769742358444,11.81
48,2025-01-30,A1027,Illustrator,In Progress,26.71,1,0,91.03572471086294,14.27
49,2025-01-21,A1010,Premiere Pro,Shared Self-Help Article,23.14,0,1,93.9927016440159,15.95
50,2025-01-15,A1008,Acrobat,Remote Support,12.6,0,1,92.06713251216419,36.49
51,2025-01-10,A1003,Premiere Pro,Remote Support,23.04,0,1,98.11939358968425,13.08
52,2025-01-28,A1000,Premiere Pro,Remote Support,19.49,1,1,97.83674841562235,27.69
53,2025-01-09,A1002,InDesign,In Progress,18.04,0,0,92.05769233761825,27.53
54,2025-01-08,A1008,Premiere Pro,Shared Self-Help Article,24.48,1,0,95.19511810583563,12.29
55,2025-01-04,A1019,Photoshop,In Progress,26.57,0,0,94.5190087319391,44.84
56,2025-01-31,A1025,Illustrator,In Progress,26.08,0,1,98.6208755908611,10.98
57,2025-01-02,A1015,Premiere Pro,In Progress,17.22,0,0,99.10455309601758,13.4
58,2025-01-30,A1015,Premiere Pro,Remote Support,19.87,0,0,92.08460925537356,10.53
59,2025-01-10,A1016,Illustrator,Shared Self-Help Article,23.08,0,0,98.94855885343352,10.96
60,2025-01-04,A1021,Photoshop,Remote Support,26.3,1,1,97.81691263115954,23.43
61,2025-01-18,A1001,InDesign,In Progress,19.02,1,0,91.49137679686484,11.18
62,2025-01-30,A1028,Photoshop,Remote Support,20.49,0,0,99.45746468504467,40.55
63,2025-01-01,A1019,Photoshop,In Progress,15.89,0,1,91.86105540344943,43.87
64,2025-01-22,A1004,Photoshop,Remote Support,15.44,1,0,97.13541553444799,23.12
65,2025-01-13,A1015,Photoshop,In Progress,25.48,0,1,98.32570180122111,38.77
66,2025-01-17,A1024,Premiere Pro,In Progress,28.2,1,1,98.11530951314091,21.89
67,2025-01-06,A1027,Acrobat,Remote Support,21.06,1,1,99.95304227555668,31.06
68,2025-01-19,A1025,Premiere Pro,In Progress,26.44,1,0,90.95740218314761,27.42
69,2025-01-22,A1003,Photoshop,In Progress,23.23,0,1,93.89628293287771,49.96
70,2025-01-11,A1000,Premiere Pro,Shared Self-Help Article,18.19,1,1,96.20249754207613,37.08
71,2025-01-29,A1027,InDesign,Shared Self-Help Article,23.23,0,0,98.5645435064282,28.29
72,2025-01-04,A1004,Premiere Pro,Remote Support,29.11,1,1,98.0600875501877,11.69
73,2025-01-24,A1001,Photoshop,In Progress,21.24,0,1,96.23628508141068,18.61
74,2025-01-02,A1002,InDesign,Remote Support,29.24,0,1,92.582256077859,40.95
75,2025-01-19,A1001,InDesign,In Progress,8.32,1,1,96.24251061590023,18.48
76,2025-01-11,A1023,Illustrator,Remote Support,25.53,1,1,90.46802915583534,48.49
77,2025-01-23,A1015,Photoshop,In Progress,21.86,1,1,98.07895488558488,41.32
78,2025-01-21,A1004,Acrobat,Remote Support,19.92,1,0,92.51028181117537,12.15
79,2025-01-01,A1018,Photoshop,In Progress,21.88,0,1,90.26297636252863,26.11
80,2025-01-27,A1004,Premiere Pro,Remote Support,11.48,1,0,95.55408262570309,18.36
81,2025-01-10,A1023,InDesign,Remote Support,20.32,0,0,97.36775617044684,23.97
82,2025-01-24,A1000,Illustrator,Remote Support,23.21,0,1,94.7169332753443,25.79
83,2025-01-24,A1000,InDesign,Remote Support,28.81,0,1,90.66084491466509,21.66
84,2025-01-13,A1022,Acrobat,Remote Support,18.83,1,0,97.48123985747264,32.94
85,2025-01-03,A1009,InDesign,Remote Support,17.38,1,0,96.39634649952643,37.34
86,2025-01-11,A1001,InDesign,Remote Support,18.91,1,0,92.74138073204101,15.41
87,2025-01-31,A1007,InDesign,In Progress,26.0,1,1,97.57356882675315,33.16
88,2025-01-30,A1020,Premiere Pro,Remote Support,23.06,1,1,94.69587911276967,31.96
89,2025-01-24,A1025,InDesign,In Progress,18.77,1,0,95.86806727507185,43.48
90,2025-01-27,A1001,Photoshop,Remote Support,23.99,0,0,98.09343119019438,37.85
91,2025-01-28,A1000,Acrobat,Shared Self-Help Article,21.91,1,0,93.80525698459337,36.39
92,2025-01-24,A1009,Photoshop,Shared Self-Help Article,26.26,0,0,91.23780980744048,29.14
93,2025-01-29,A1017,Premiere Pro,In Progress,17.91,0,1,98.1837145196611,25.44
94,2025-01-13,A1021,Premiere Pro,Remote Support,19.78,1,1,90.40992382136723,25.5
95,2025-01-19,A1011,Premiere Pro,Shared Self-Help Article,19.46,1,0,93.66359670933912,16.44
96,2025-01-27,A1010,Illustrator,Shared Self-Help Article,14.1,1,0,97.73221770234359,22.63
97,2025-01-19,A1019,Acrobat,In Progress,22.9,0,0,97.54625839799316,36.63
