Interaction_ID,Date,Issue_Type,Status,Channel,Rating,CSAT,DSAT
1,2025-01-21,Activation Issue,Received,Chat,2,0,1
2,2025-01-08,Download/Install,Received,Phone,5,1,0
3,2025-01-14,Activation Issue,Received,Phone,2,0,1
4,2025-01-08,How To,OK,Phone,5,1,0
5,2025-01-07,How To,Pending_Customer,Phone,4,1,0
6,2025-01-19,Provisioning Issue,Received,Phone,4,1,0
7,2025-01-11,Provisioning Issue,Callback,Phone,3,0,0
8,2025-01-04,Activation Issue,Pending_Customer,Phone,3,0,0
9,2025-01-28,Provisioning Issue,OK,Chat,1,0,1
10,2025-01-24,Update,OK,Phone,4,1,0
11,2025-01-03,How To,Pending_Agent,Chat,5,1,0
12,2025-01-07,Activation Issue,Received,Phone,3,0,0
13,2025-01-03,Download/Install,Received,Chat,3,0,0
14,2025-01-15,Provisioning Issue,Callback,Chat,3,0,0
15,2025-01-07,Provisioning Issue,Received,Phone,5,1,0
16,2025-01-24,Download/Install,Callback,Chat,4,1,0
17,2025-01-09,How To,Callback,Chat,1,0,1
18,2025-01-08,Activation Issue,Pending_Agent,Chat,3,0,0
19,2025-01-03,Download/Install,OK,Chat,2,0,1
20,2025-01-21,Update,Pending_Customer,Chat,2,0,1
21,2025-01-09,Download/Install,Callback,Chat,5,1,0
22,2025-01-14,How To,Pending_Customer,Chat,2,0,1
23,2025-01-05,How To,Pending_Customer,Phone,1,0,1
24,2025-01-28,Activation Issue,Callback,Phone,4,1,0
25,2025-01-20,Activation Issue,Pending_Customer,Chat,5,1,0
26,2025-01-15,How To,Pending_Agent,Phone,1,0,1
27,2025-01-22,How To,Pending_Agent,Chat,1,0,1
28,2025-01-10,Update,Callback,Chat,1,0,1
29,2025-01-31,Provisioning Issue,OK,Phone,5,1,0
30,2025-01-30,Activation Issue,Pending_Agent,Phone,2,0,1
31,2025-01-12,Download/Install,OK,Phone,5,1,0
32,2025-01-11,Update,Received,Phone,3,0,0
33,2025-01-29,Provisioning Issue,Callback,Phone,2,0,1
34,2025-01-29,How To,Received,Phone,4,1,0
35,2025-01-27,Activation Issue,OK,Phone,2,0,1
36,2025-01-22,Update,OK,Phone,3,0,0
37,2025-01-17,How To,Pending_Customer,Phone,5,1,0
38,2025-01-25,Download/Install,Pending_Agent,Chat,3,0,0
39,2025-01-15,How To,Pending_Customer,Phone,2,0,1
40,2025-01-08,Activation Issue,Pending_Agent,Phone,5,1,0
41,2025-01-18,Download/Install,OK,Phone,1,0,1
42,2025-01-03,Activation Issue,Callback,Phone,1,0,1
43,2025-01-28,Provisioning Issue,Received,Phone,3,0,0
44,2025-01-22,Update,Callback,Phone,5,1,0
45,2025-01-19,Update,Callback,Chat,4,1,0
46,2025-01-07,Activation Issue,Received,Chat,3,0,0
47,2025-01-14,Update,Pending_Customer,Phone,1,0,1
48,2025-01-02,Update,Pending_Agent,Phone,2,0,1
49,2025-01-07,Download/Install,OK,Chat,2,0,1
50,2025-01-14,Download/Install,Pending_Agent,Chat,2,0,1
51,2025-01-28,Activation Issue,Pending_Customer,Phone,1,0,1
52,2025-01-21,How To,Received,Phone,2,0,1
53,2025-01-06,Update,Pending_Customer,Chat,2,0,1
54,2025-01-28,Update,Received,Phone,4,1,0
55,2025-01-01,Update,Pending_Agent,Chat,3,0,0
56,2025-01-14,How To,Pending_Customer,Phone,2,0,1
57,2025-01-10,Download/Install,Received,Phone,3,0,0
58,2025-01-02,Activation Issue,OK,Chat,5,1,0
59,2025-01-30,How To,Callback,Phone,5,1,0
60,2025-01-03,Download/Install,Received,Phone,2,0,1
61,2025-01-13,Activation Issue,OK,Phone,5,1,0
